,first_category,second_category,third_category,brand,price,counts,sales,days
843,运动户外,运动服饰,卫衣/套头衫,李宁（LI-NING）,127.0,50,6350.0,50
844,运动户外,运动服饰,卫衣/套头衫,李宁（LI-NING）,135.0,50,6750.0,50
845,运动户外,运动服饰,卫衣/套头衫,特步（XTEP）,99.0,50,4950.0,48
846,运动户外,运动服饰,夹克/风衣,耐克（NIKE）,259.0,50,12950.0,50
847,运动户外,运动服饰,套装,京东京造,229.0,50,11450.0,50
848,运动户外,运动服饰,运动配饰,nike,69.0,50,3450.0,0
849,运动户外,运动服饰,运动配饰,安德玛（UNDERARMOUR）,69.0,32,2208.0,0
850,运动户外,运动服饰,运动配饰,安踏（ANTA）,62.0,2,124.0,0
851,运动户外,运动服饰,运动配饰,幂探,3.9,50,195.0,0
852,运动户外,运动服饰,运动配饰,彪马（PUMA）,79.0,50,3950.0,49
853,运动户外,运动服饰,运动配饰,李宁,59.0,50,2950.0,0
854,运动户外,运动服饰,运动配饰,特步（XTEP）,59.0,49,2891.0,1
855,运动户外,运动服饰,运动配饰,耐克（NIKE）,78.0,50,3900.0,0
856,运动户外,运动服饰,运动配饰,迪卡侬（DECATHLON）,19.9,72,1432.8,0
857,运动户外,运动服饰,运动配饰,迪卡侬（DECATHLON）,24.9,50,1245.0,0
858,运动户外,运动服饰,运动配饰,里海狼（CASPIAN WOLF）,19.9,50,994.9999999999999,50
859,运动户外,运动服饰,运动配饰,阿迪达斯 （adidas）,89.0,50,4450.0,1
860,运动户外,运动鞋包,运动休闲鞋,ADIDAS,389.0,50,19450.0,50
